time,timestamp,n_nodes,n_edges,density,avg_degree,clustering,max_centrality,centrality_std
0,2020-01-01,15,52,0.24761904761904763,6.933333333333334,0.38126984126984126,1.2857142857142856,0.3035690942954138
1,2020-01-31,15,52,0.24761904761904763,6.933333333333334,0.38126984126984126,1.2857142857142856,0.3035690942954138
2,2020-03-01,16,55,0.22916666666666666,6.875,0.37549603174603174,1.2666666666666666,0.2923800798808139
3,2020-03-31,16,55,0.22916666666666666,6.875,0.37549603174603174,1.2666666666666666,0.2923800798808139
4,2020-04-30,17,58,0.21323529411764705,6.823529411764706,0.41466768525592057,1.25,0.2909758667266085
5,2020-05-30,17,58,0.21323529411764705,6.823529411764706,0.41466768525592057,1.25,0.2909758667266085
6,2020-06-29,17,58,0.21323529411764705,6.823529411764706,0.41466768525592057,1.25,0.2909758667266085
7,2020-07-29,17,58,0.21323529411764705,6.823529411764706,0.41466768525592057,1.25,0.2909758667266085
8,2020-08-28,17,58,0.21323529411764705,6.823529411764706,0.41466768525592057,1.25,0.2909758667266085
9,2020-09-27,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
10,2020-10-27,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
11,2020-11-26,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
12,2020-12-26,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
13,2021-01-25,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
14,2021-02-24,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
15,2021-03-26,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
16,2021-04-25,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
17,2021-05-25,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
18,2021-06-24,18,61,0.19934640522875818,6.777777777777778,0.44735449735449734,1.2352941176470589,0.2818047207491516
19,2021-07-24,19,64,0.1871345029239766,6.7368421052631575,0.4764411027568922,1.222222222222222,0.27087451644487637
20,2021-08-23,19,64,0.1871345029239766,6.7368421052631575,0.4764411027568922,1.222222222222222,0.27087451644487637
